Question,Option A,Option B,Option C,Option D,Correct Answer,
Who is the first of the Rightly Guided Caliphs?,Umar ibn al-Khattab,Abu Bakr al-Siddiq,Ali ibn Abi Talib,Uthman ibn Affan,Abu Bakr al-Siddiq,
In which year did World War I begin?,1905,1914,1920,1939,1914,
Which ancient civilization built the pyramids in Egypt?,Sumerian Civilization,Roman Civilization,Ancient Egyptian Civilization,Greek Civilization,Ancient Egyptian Civilization,
Who was the leader who conquered Constantinople in 1453?,Saladin,Sultan Mehmed the Conqueror,Suleiman the Magnificent,Nur al-Din Zangi,Sultan Mehmed the Conqueror,
What is the name of the battle in which Napoleon Bonaparte was finally defeated?,Battle of Austerlitz,Battle of Waterloo,Battle of Leipzig,Battle of Borodino,Battle of Waterloo,
What is the largest ocean in the world?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Pacific Ocean,
What is the longest mountain range in the world?,Himalayas,Alps,Andes Mountains,Rocky Mountains,Andes Mountains,
In which continent is the Sahara Desert located?,Asia,Africa,Australia,South America,Africa,
What is the longest river in the world?,Amazon River,Nile River,Yangtze River,Mississippi River,Nile River,
What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,Canberra,
What is the chemical element with the symbol 'O'?,Gold,Silver,Oxygen,Hydrogen,Oxygen,
What is the closest planet to the Sun in our solar system?,Venus,Earth,Mars,Mercury,Mercury,
What is the process plants use to convert sunlight into energy?,Respiration,Photosynthesis,Transpiration,Absorption,Photosynthesis,
What is the unit of force in the International System of Units (SI)?,Watt,Joule,Newton,Pascal,Newton,
What part of the cell contains the genetic material (DNA)?,Mitochondria,Nucleus,Cytoplasm,Plasma Membrane,Nucleus,
"Who is the author of the novel ""War and Peace""?",Fyodor Dostoevsky,Leo Tolstoy,Anton Chekhov,Mark Twain,Leo Tolstoy,
How many players are on a soccer team on the field?,9,10,11,12,11,
What is the official currency of Japan?,Yuan,Won,Yen,Dollar,Yen,
In which city is the Eiffel Tower located?,London,Rome,Berlin,Paris,Paris,
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,Leonardo da Vinci,
Which country won the first FIFA World Cup in 1930?,Uruguay,Brazil,Argentina,Italy,Uruguay,
Who is the all-time top scorer in the UEFA Champions League?,Lionel Messi,Cristiano Ronaldo,Raul,Robert Lewandowski,Cristiano Ronaldo,
How many players are on the field for one team in a standard football match?,9,10,11,12,11,
Which club has won the most UEFA Champions League titles?,Bayern Munich,Real Madrid,Liverpool,Barcelona,Real Madrid,
What is the duration of a standard football match?,80 minutes,90 minutes,100 minutes,120 minutes,90 minutes,
Which player has won the most Ballon d'Or awards?,Lionel Messi,Cristiano Ronaldo,Michel Platini,Johan Cruyff,Lionel Messi,
Which country has won the most Africa Cup of Nations titles?,Egypt,Nigeria,Cameroon,Ghana,Egypt,
In which year was the first European Championship held?,1960,1970,1980,1990,1960,
Which team is known as 'The Red Devils'?,Manchester United,Liverpool,Arsenal,Chelsea,Manchester United,
What is the name of the trophy awarded to the FIFA World Cup winners?,Jules Rimet Trophy,FIFA Gold Trophy,World Cup Trophy,Victory Cup,World Cup Trophy,
Which player scored the 'Hand of God' goal?,Diego Maradona,Pele,Lionel Messi,Zinedine Zidane,Diego Maradona,
Which country hosted the 2018 FIFA World Cup?,France,Germany,Russia,Qatar,Russia,
What is the offside rule in football?,A player is ahead of the ball,A player is ahead of the second-last defender,A player is in the opponent's half,A player is behind the goalkeeper,A player is ahead of the second-last defender,
Which club has the most English Premier League titles?,Manchester United,Liverpool,Arsenal,Chelsea,Manchester United,
Who is the only player to win the World Cup as both a player and a manager?,Franz Beckenbauer,Zinedine Zidane,Didier Deschamps,Pep Guardiola,Franz Beckenbauer,
Which country won the 2014 FIFA World Cup?,Spain,Germany,Argentina,Brazil,Germany,
What is the maximum number of substitutions allowed in a standard football match?,3,4,5,6,3,
Which player is known as 'The Phenomenon'?,Ronaldinho,Ronaldo Nazario,Zinedine Zidane,David Beckham,Ronaldo Nazario,
Which country has never won the FIFA World Cup?,Netherlands,Spain,England,Portugal,Netherlands,
What is the diameter of a standard football (soccer ball)?,20-22 cm,22-24 cm,24-26 cm,26-28 cm,22-24 cm,
Which team won the first English Premier League season in 1992-93?,Manchester United,Blackburn Rovers,Arsenal,Aston Villa,Manchester United,
Who is the all-time top scorer for the Brazilian national team?,Pele,Ronaldo,Neymar,Romario,Neymar,
Which stadium is known as 'The Theatre of Dreams'?,Anfield,Old Trafford,Camp Nou,Santiago Bernabeu,Old Trafford,
Which country has the most Copa America titles?,Brazil,Argentina,Uruguay,Chile,Uruguay,
Who was the first African player to win the Ballon d'Or?,George Weah,Samuel Eto'o,Didier Drogba,Yaya Toure,George Weah,
In which year was the first FIFA Women's World Cup held?,1986,1991,1995,1999,1991,
Which player has the most assists in Premier League history?,Ryan Giggs,Cesc Fabregas,Frank Lampard,Wayne Rooney,Ryan Giggs,
What is the minimum number of players needed to avoid a forfeit in a match?,5,6,7,8,7,
Which country won the 2006 FIFA World Cup?,Italy,France,Germany,Spain,Italy,
